,Feature_ID,Gain_Importance,Feature_Explanation
0,Resource_Class,15444.83854675293,
1,GB250,9436.93911743164,Can predicative possession be expressed with a transitive 'habeo' verb?
2,GB024,6336.658996582031,What is the order of numeral and noun in the NP?
3,GB159,5596.314407348633,Are nouns reduplicated?
4,GB059,4577.704086303711,Is the adnominal possessive construction different for alienable and inalienable nouns?
5,GB187,4577.593948364258,Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?
6,GB328,3307.7839965820312,Can the relative clause precede the noun?
7,GB408,3093.031021118164,Is there any accusative alignment of flagging?
8,GB185,3026.4540100097656,Can an adnominal demonstrative agree with the noun in number?
9,GB402,2919.917999267578,Does the verb for 'see' have suppletive verb forms?
10,GB114,2863.7569732666016,Is there a phonologically bound reflexive marker on the verb?
11,GB252,2569.574981689453,Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?
12,GB020,2273.131820678711,Are there definite or specific articles?
13,GB301,2076.1939697265625,Is there an inclusory construction?
14,GB057,2063.607032775879,Are there numeral classifiers?
15,GB133,2013.3739929199219,Is a pragmatically unmarked constituent order verb-final for transitive clauses?
16,GB117,1747.6620025634766,Is there a copula for predicate nominals?
17,GB079,1715.3194198608398,"Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?"
18,GB046,1687.9114074707031,Is there an associative plural marker for nouns?
19,GB051,1660.1510620117188,Is there a gender/noun class system where sex is a factor in class assignment?
20,GB146,1573.2640075683594,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?
21,GB330,1475.6208953857422,Are there correlative relative clauses?
22,GB297,1345.4349975585938,Can polar interrogation be indicated by a V-not-V construction?
23,GB113,1317.4360046386719,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?
24,GB127,1308.0409851074219,Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?
25,GB296,1093.360008239746,Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?
26,GB147,1067.2050018310547,Is there a morphological passive marked on the lexical verb?
27,GB103,1061.9379959106445,Is there a benefactive applicative marker on the verb (including indexing)?
28,GB198,978.8859710693359,Can an adnominal numeral agree with the noun in gender/noun class?
